review,sentiment
the service is terrific and the staff are very professional,positive
the staff is very thorough,positive
the doctors are very dedicated,positive
i am so grateful to the knowledgeable staff,positive
ang staff ay napaka galang,positive
napakahusay ng mga tauhan,positive
walang nakakalat sa kapaligiran,neutral
sinabihan niya ako ng masama,negative
my pet rabbit died on their operation,negative
lahat ng staff ay napaka matulungin,positive
nagbibigay ng pangangalaga ang kanilang mga doktor,neutral
the doctor is very friendly,positive
everyone took their time with each animal,neutral
sobrang maasahan ang mga doktor dito,positive
the staff are welcoming,positive
the staffs are very professional,positive
mula sa mga doktor hanggang sa mga tauhan nakakatanggap ka ng pangangalaga,neutral
walang sapat na kagamitan para humarap sa sitwasyong pangemergency,negative
the staffs are very dedicated,positive
sobrang mahal kahit maliit lang ang problema ng alaga mo,negative
the staff are always very helpful,positive
the staff provide care for my pet,neutral
hindi komportable sa beterinaryong ito dahil parang hindi maalam ang doktor,negative
i have found that the doctors in this practice are not knowledgeable,negative
the staff are very attentive,positive
the staff are very awesome,positive
the staffs are extremely friendly,positive
ang tauhan ay palaging mabait,positive
doctors and staff are very helpful,positive
unacceptable wait times its showing us that you dont respect our time,negative
justice underwent surgery at the clinic,neutral
ang mga tauhan ay palaging magalang at kompetente,positive
i am grateful to the professional and knowledgeable staff,positive
everyone is very dedicated on their work,positive
everyone was caring and very professional they answered all my questions,positive
their pricing could benefit from a multi-pet discount plan,neutral
the staff are very dedicated,positive
i am so grateful to the competetive staffs,positive
i love how everyone took their time with each animal,positive
ito ang unang beses ko at naranasan ko ang mga serbisyo nila,neutral
the staff are very reputable,positive
the staff are doing their job,neutral
ang mga tauhan ay napakamaasikaso,positive
very caring and very friendly staff,positive
the staff are really welcoming,positive
the staffs are very diligent,positive
the staff are really committed,positive
the staff is very compassionate,positive
nagbigay ng serbisyo ang staff at doktor,neutral
the service is terrific,positive
it is really hard to get an appoinment which is frustrating,negative
ocvh provides care for pets,neutral
the doctor is very knowledgeable,positive
the service was provided as expected,neutral
the doctor is really dependable,positive
everyone at the facility was super nice,positive
the doctor is very meticulous which is really good,positive
napakasipag ng mga tauhan,positive
the staffs are very thoughtful,positive
the knowledge of the doctors are unreliable,negative
sakto lang ang amoy sa loob,neutral
the doctor is extremely sincere,positive
the inside has a distinct smell,neutral
the staffs are very efficient,positive
the doctor is so respectful,positive
the doctor is very skilled,positive
nagulat kami sa presyo ng euthanization dahil ang mahal,negative
the doctor absolutely sucks on diagnosing,negative
the doctor is extremely compassionate,positive
ang tauhan ay talagang may malasakit,positive
everyone was really professional,positive
the doctors are very helpful,positive
the doctor is highly skilled,positive
i am so grateful to the reliable staffs,positive
the doctor let us know what procedure will be done before doing it,neutral
the doctors are very dependable,positive
ang tauhan ay talagang maasahan,positive
the air conditioning vents had visible dust,neutral
they charge for every little thing which made it overpriced,negative
the doctor is very considerate,positive
the staff is considerate,positive
the doctor is very confident,positive
the doctor is very detailed when explaining,positive
ang doktor ay may sapat na kakayahan,neutral
alam ng mga tauhan ang pangalan ng aking aso,neutral
we found a smaller vet that is much less expensive,negative
their group has experience and provides assistance,neutral
the staffs are very caring,positive
the doctor is an excellent veterinarian,positive
nakipag-ugnayan ako sa Lakewood office tungkol sa aking karanasan sa mga kuto sa aking indoor na pusa,neutral
dr danowitz ay isang beterinaryo na may sapat na kaalaman,neutral
the doctos was so understanding and helpful answered all my questions,positive
the doctor is really great,positive
ang staff ang nangangalaga sa iyong alaga,neutral
they upsell unnecessary treatments to inflate the bill so overpriced,negative
the doctor is really passionate,positive
the staff did not follow up after the procedure which is unprofessional,negative
there was no follow up after the procedure,neutral
they are very understanding,positive
this clinic is really awesome,positive
this clinic is really competetive when it comes to service,positive
the doctor is really dependable,positive
i called earlier in the day and meds were ready when i arrived to pick them up,neutral
the doctor in this clinic is talented,positive
doctors and staff are always very helpful,positive
ang mga tauhan ay may sapat na kaalaman,neutral
dr danowitz is an excellent veterinarian,positive
ang mga doktor dito ay sobrang matalino,positive
their group is awesome,positive
ocvh was so understanding and helpful they answered all my questions,positive
the staffs was super nice and caring,positive
the doctor is so professional,positive
the doctor is really dependable,positive
their group is awesome they are caring and knowledgeable,positive
everyone took their time with each animal,positive
the doctor is very adept on his field,positive
mapagkakatiwalaan ang doktor sa taglay niyang talino,positive
hindi praktical ang presyo,negative
i love how procedural the doctor when diagnosing,positive
the process went as expected,neutral
napaka maalagain ng mga tauhan dito,positive
the doctor is caring and compassionate,positive
napakamatulungin ng mga tauhan,positive
the staffs are very hard working,positive
nakahanap kami ng iba na mas mura dahil sobrang mahal dito,negative
the doctors and staff are very caring,positive
everyone was very friendly,positive
they provide adequate quality service,neutral
the staff was extremely compassionate,positive
the doctors and staff are very organized,positive
they are very friendly,positive
ang tauhan ay palaging maingat,positive
ocvh was so understanding and helpful,positive
the staff was so helpful,positive
he is very knowledgeable,positive
the doctors and staff are always caring,positive
their group is awesome,positive
they are caring and knowledgeable,positive
everyone was very professional,positive
the staffs are so efficient,positive
everyone was really talented,positive
the staffs and doctors are excellent,positive
everyone was really hard working,positive
they are very knowledgeable,positive
ang tauhan ay palaging taospusong nakikiramay,positive
they are very hard working,positive
ang doktor ay nagbibigay ng nararapat na atensyon,neutral
ang mga tauhan ay talagang masipag,positive
everyone at the facility was super caring,positive
doctors and staff are very skillful,positive
the staff was extremely compassionate,positive
naalagaan ang aking mga ibon,neutral
ang staff ay palaging malungkot at hindi magiliw,negative
very professional staff,positive
the service is really excellent,positive
the staff was really courteous,positive
napaka husay nga mga tauhan,positive
nakakainip sobra ang paghihintay,negative
hindi propesyunal ang mga tauhan,negative
the staff was really professional and the facility are welcoming,positive
hindi ko sigurado kung may sapat na kaalaman,neutral
the staff was really friendly,positive
so far good everyone was friendly and helpful,positive
they deliver the service as required,neutral
ang tauhan palaging madaling lapitan,positive
the staff was working really efficient,positive
so far so good everyone was professional,positive
ocvh is so understanding,positive
the staffs are extremely skilled,positive
the staffs are very caring,positive
the doctor is excellent,positive
olivers surgeries were explained and he received care during the procedures,neutral
they really took their time examing my pet which is commendable,positive
the staffs are commendable,positive
the staffs are knowledgeable and compassionate,positive
the staff is very sweet with my pet,positive
lahat ay tumulong at inalagaan si Chloe,neutral
they are very knowledgeable,positive
my dog was misdiagnosed and mistreated,negative
they are knowledgeable,positive
the staff provide assistance and support,neutral
i am really happy with their service,positive
inalagaan ng staff ang aking alaga,neutral
the doctors and staff provided care for my two pets,neutral
the doctor is the greatest man,positive
all my requests for an appointment are being ignored,negative
ako ay masaya dahil pinakinggan ako ng doktor,positive
the staff are terrible at providing customer service,negative
i cant say i needed all the tests,neutral
he approached and handled my dog,neutral
they did a great job,positive
ang presyo ng serbisyo ay ayon sa nakatakdang halaga,neutral
hindi ko nagustuhan ang karasanasan ko sa clinic na ito,negative
everyone was really nice,positive
everyone was approachable,positive
ang mga tauhan ay tunay na nagmamalasakit sa alaga mo,positive
ang kanilang system ay may mga aspeto na nangangailangan ng oras upang matutunan,neutral
the doctor is knowledgeable and caring,positive
even if you book an appointment you are not prioritized,negative
i have the most horrible experience,negative
all medical personnel performed their duties,neutral
ang daming problema sa serbisyo pero ang mahal,negative
the doctor very caring and professional,positive
nagulat kami sa presyo ng euthanization dahil ang ibang clinic ay hindi nagpapabayad sa euthanization,negative
the doctor greatly helped us,positive
the doctor is very perceptive,positive
the doctor is really passionate,positive
the staff is very caring,positive
the staff is very sociable,positive
the staffs are really understanding,positive
ang mga tauhan ay nagbigay ng tulong at suporta,neutral
they are extremely passionate on their job,positive
the prices are on par with all other vets,neutral
the staff is very punctual,positive
doctors and staff are accountable,positive
napaka bait ng mga tauhan dito,positive
sila ay nagbibigay ng tulong at suporta,neutral
everyone was really proactive,positive
the staffs are extremely innovative,positive
minsan may pagkaantala sa oras,neutral
staff in lakewood and toms river care for both my dogs,neutral
the doctor embraces challenges which is a good thing,positive
the staffs are friendly and very professional,positive
they are really caring,positive
everyone was so knowledgeable,positive
everyone was really flexible,positive
the experience was acceptable,neutral
the staffs are really considerate,positive
this clinic is really transparent with everything,positive
hindi sila maayos kausap tungkol sa kalagayan ng aso ko,negative
the experience was as expected,neutral
laging walang available na slot sa pag book online,negative
they are really responsible,positive
ang staff ay bastos din,negative
the staff are really calm even in times of emergency,positive
the service was adequate,neutral
ipinaliwanag ng doktor sa akin ang lahat ng gastos bago gumawa ng anuman,neutral
i am so grateful to the hard working staffs,positive
everyone at the facility was super nice,positive
sinagot niya ang lahat ng aking katanungan,neutral
courteous and professional staff,positive
veterinarians was educated in all creatures,neutral
very caring staff,positive
the staff is very detailed,positive
the doctor is careless,negative
the staff is so empathetic,positive
ang mga tauhan ay talagang mapag aruga,positive
the staff is really efficient,positive
the staff is so responsible,positive
they are really attentive,positive
the service is impressive,positive
napaka ayos ng serbisyo dito,positive
the doctor really took great care of my 2 kittens,positive
napaka propesyunal ng mga tauhan dito,positive
everyone took care of my chloe,neutral
hindi sulit ang presyo,negative
everyone was really respectful,positive
they were able to provide assistance,neutral
their group is awesome,positive
the doctor is extremely knowledgeable,positive
ang staff at doktor ay nagbigay ng pangangalaga sa aking aso na si Keaton,neutral
naibibigay sila ng tulong,neutral
doctor is genuine,positive
doctors and staff are very aligned in terms of knowledge,positive
everyone was very caring,positive
everyone at the facility was encouraging,positive
lahat sila ay pinapalakas ang iyong loob,positive
the staff are really reliable,positive
napakahirap magbook,negative
ang kanilang lugar ay may ilang bagay na hindi organisado,neutral
the doctor knew right away and prescribed something,neutral
the staff is so flexible,positive
they are really welcoming,positive
the doctors provide care for all animals,neutral
the doctors provided support,neutral
extremely supportive staff,positive
napaka matulungin ng mga tauhan,positive
the staff is very caring,positive
i visit them regularlys,neutral
great service,positive
the staff are great,positive
there is a timer for booking and the process needs to be restarted each time,neutral
the staff are really helpful,positive
the pet scales is definitely not cleaned every use as it were dirty and covered in fur,negative
the time slots are limited,neutral
ang serbisyo ay naaayon sa mga kinakailangan,neutral
their group is so knowledgeable,positive
very compassionate staff,positive
maayos ang aking pagbisita,neutral
ang aking alaga ay nabigyan ng atensyon,neutral
the staff is inconsiderate,negative
kinakailangan ng oras pag nagbbook,neutral
hindi maayos ang pag gamot sa aking alaga,negative
compassionate staff,positive
very courteous staff,positive
everyone was really courteous,positive
the staffs are really professional,positive
napaka matulungin ng mga tauhan,positive
they did not greet or acknowledge me when I arrived so i felt unwelcome,negative
everyone was very supportive,positive
the staff is very helpfulpositive,
they are really efficient,positive
they are very helpful,positive
the ocean county veterinarian clinic addresses your animals health needs,neutral
their group very awesome,positive
doctors and staff are enthusiastic,positive
the staff is very very helpful,positive
ang tauhan ay palaging mabait,positive
laging puno ang schedule kaya hindi makabook,negative
sila ay sumusunod sa mga pamantayan ng kanilang trabaho,neutral
he is knowledgeable and caring,positive
ang serbisyong natanggap ng aking alaga ay naaayon sa inaasahan,neutral
they are also dealing with flea,neutral
extremely reliable staff,positive
ang vet ay nagsagawa ng mga kinakailangang hakbang,neutral
ang mga presyo ay katulad ng iba,neutral
sila ay napaka husay,positive
sila ay napaka maalaga,positive
the staff is very goal oriented,positive
the doctor is very goal oriented,positive
very goal oriented staff,positive
the online booking system was not working totally useless,negative
they are really good,positive
they ignored me at the front desk and made me wait for ages,negative
the doctor caring and compassionate,positive
i am so grateful to these professional staff,positive
the staff and the doctors are able to prioritize,positive
hindi mapagkakatiwalaan ang mga tauhan,negative
ginagawa ng bawat miyembro ang kanilang trabaho,neutral
marunong magpahalaga ang mga tauhan,positive
parang napabayaan ang lugar dahil napakadumi,negative
ang tauhan ay palaging mabilis sumagot,positive
everyone attended to my pet as needed,neutral
they are caring,positive
the staff is very helpful and compassionate,positive
the staff is very helpful and knowledgeable,positive
everyone answered all my questions and took good care of my two kittens,positive
prices are ridiculously high for some services,negative
excellent service,positive
great staff,positive
the service meets expectations,neutral
dr briggs provided care for my dog maya,neutral
ang tauhan ay nagmamalasakit sa lahat ng ating mga hayop,positive
i rated them 1 star because they make you feel uncertain and untrusting towards them,negative
there are aspects related to cleanliness that could be improved,neutral
it took to too long for them to approve my appointment request,negative
the doctor is an excellent veterinarian he is knowledgeable and caring,positive
their group is awesome they are orderly and reliable,positive
very pleasant staff,positive
the staff and physicians are very caring and professional,positive
the staff and the facility are welcoming,positive
the staff is very helpful,positive
everyone was friendly,positive
si dr briggs ay nagbigay ng tulong sa aking aso na si maya,neutral
they are very helpful and knowledgeable,positive
the doctor provides the necessary care,neutral
bagong karanasan ko sa kanila,neutral
their fees for emergency services are outrageously high,negative
the staff and the doctors are excellent,positive
everyone was very knowledgeable,positive
their group is very timely,positive
great doctors,positive
i called and they answered as expected,neutral
everyone at the facility was super nice and caring,positive
i am so grateful to the professional doctors,positive
the staff is very conscientious,positive
the service is extremely good,positive
their group is really proactive,positive
napakamatulungin at mabait ng mga tauhan,positive
the experience with the staff are acceptable,neutral
extremely helpful staff,positive
ang tauhan ay talagang matulungin,positive
ang tauhan ay talagang marespeto,positive
the staffs provided assistance,neutral
the doctor provided care for my pet,neutral
i would highly recommend this clinic,positive
they are so welcoming and helpful,positive
very supportive staffs,positive
sila ay nagbibigay ng kinakailangang atensyon sa lahat,neutral
everyone was so considerate,positive
sila ay nag aalaga ayon sa pangangailangan ng bawat isa,neutral
the service is high level,positive
the service is terrific,positive
napakapangit ang pagaalaga,negative
ang singil ay ayon sa kanilang itinakdang presyo,neutral
they provided the needed care,neutral
the wait time was within the expected range,neutral
ang tauhan ay nagmamalasakit sa lahat ng ating mga hayop,positive
i am so grateful so to the professional and greatly knowledgeable staff,positive
ang mga doktor at staff ay nagbibigay ng kinakailangang pangangalaga,neutral
the doctor is compassionate,positive
the waiting area has a noticeable odor,neutral
the doctors provided information,neutral
everyone was caring,positive
their pricing is outrageously expensive,negative
the staff is knowledgeable,positive
very friendly and professional staffs,positive
doctors and staff are caring,positive
maaring maayos pa ang kanilang lugar,neutral
the doctor took her time to answer all my questions,neutral
the system is always malfunctioning so i was not able to book properly,negative
everyone was friendly,positive
the doctor is really articulate,positive
the staff provided the necessary care and attention,neutral
the doctor explains everything so well,positive
they assisted with my sick hamster,neutral
nakakainis ang sobrang haba ng hintayan,negative
i did not like having to pay a premium for emergency service,negative
the doctors provided care for our pet as expected,neutral
the staff is very friendly and caring,positive
the staff is extremely friendly,positive
the clinic is really business driven,positive
the staff meet the needs of the situation,neutral
the doctor is caring,positive
the staffs provide excellent service,positive
nakakuha ako ng appointment para sa aking pusa,neutral
this clinic is so customer focused,positive
doctors and staff are always empathetic,positive
they charge for consultations which is unacceptable,negative
the staff is very approachable,positive
doctors and nurses provided the needed assistance,neutral
the clinic is really strategic so there are no backlogs,positive
the doctor is really resourceful,positive
the receptionist was dismissive and unhelpful when I asked questions,negative
the staffs are committed to their job,positive
they are extremely organized,positive
they are very helpful,positive
the prices is so budget friendly,positive
i would recommend this clinic since they are so budget friendly,positive
they respond adequately to your needs,neutral
the staff and physicians are organized,positive
they are so approachable,positive
so far so good as every is really approachable,positive
nakakadiri ang amoy sa loob,negative
they are so enthusiastic,positive
the staff are so understanding,positive
the staff is helpful with things,positive
my pet does not show signs of stress during visits to this vet,neutral
canceling or rescheduling online requires several steps,neutral
the doctor really analayzes things so well,positive
walang dedikasyon sa trabaho,negative
kailangan maglaan ng oras sa paghihintay,neutral
the staff is very dedicated,positive
the doctor is skilled,positive
ang doktor ay nagbibigay ng mga kasagutan sa mga tanong,neutral
the staff is very sincere,positive
the staff rushed during my consultation which made me disappointed,negative
they assist animals in recovering,neutral
ginagamot nila ang iyong alaga,neutral
the staffs are excellent,positive
this clinic is so productive,positive
sobrang abot kaya ang kanilang mga presyo,positive
the staff is so consistent,positive
their group is awesome,positive
their service is high quality,positive
masyadong mataas maningil kahit simple lang ang procedure,negative
sobrang sama ng loob ko sa care na natanggap ni peanut,negative
napakamahal sila magpresyo,negative
i had a very long wait because of the long line,negative
the provided care is high quality,positive
the environment is spotless,positive
everyone was so outstanding,positive
hindi marunong makinig sa mga parokyano,negative
this clinic is results driven,positive
the doctor is very nice to my pet,positive
this clinic is really consistent,positive
you really can depend on this clinic,positive
this clinic is trustworthy,positive
ang mga doktor ay hindi maasahan,negative
exceptional service,positive
the doctor is exceptional,positive
i am happy with the doctor,positive
the staff is so admirable,positive
nakapag-punta na ako sa vet na ito ng maraming beses,neutral
outstanding staffs,positive
the staffs are not knowledgeable,negative
wonderful service,positive
the staff was rude and did not seem to care about my concerns,negative
everyone can adapt on everything,positive
si nala at ako ay nagkaroon ng karanasan sa inyong veterinary hospital,neutral
ang mga tauhan ay masigasig,positive
the staffs are so enthusiastic,positive
enthusiastic staffs,positive
ang mga tauhan ay sabik mapagaling ang alaga mo,positive
everyone was eager to treat your pet,positive
this clinic is eager to help,positive
their group is fantastic,positive
everyone was so outstanding,positive
sa lahat ng napuntahan kong clinic ito ang pinakamaganda,positive
the staff is very organized,positive
ang mga tauhan ay sumusunod sa tamang asal,neutral
very negligent doctor,negative
very innovative clinic,positive
there was a distinct scent in the clinic,neutral
everyone was very organized,positive
napakagulo ng lugar,negative
they are very proactive and goal oriented,positive
great staffs,positive
everyone was really proactive,positive
they are extremely proactive,positive
ang mga tauhan ay nagbibigay ng mga kasagutan,neutral
the service is fantastic,positive
parang hindi nagiisip ang mga doktor,negative
everyone was intelligent,positive
the doctors and staff are trustworthy,positive
nakakabahala ang taas ng presyo,negative
the staff and physicians are excellent,positive
they treated my dog roughly,negative
hindi pala kaibigan ang mga tauhan,negative
may mga gastusin dito na hindi agad naipaliwanag,neutral
the staff is awesome,positive
sa ngayon maayos naman lahat ay matulungin at propesyonal,positive
nakakuha ako ng appointment,neutral
equipped,neutral
the doctor is caring and professional,positive
ang doktor ay nagbibigay ng sapat ng alaga,neutral
tile shards were visible on the floor,neutral
extremely kind doctors,positive
knowledgeable staff,positive
the staff is very helpful and the veterinarians are knowledgeable and compassionate,positive
nice and caring staff,positive
adequate service,neutral
nasasagot ang katanungan,neutral
pet care is very expensive,negative
napaka ayos ng lahat,positive
ang mga tauhan ay nagbibigay ng tulong,neutral
the medications they sell are double the price of regular pharmacies,negative
ang tauhan ay palaging handang tumulong,positive
the receptionist greeted me upon arrival,neutral
everyone is very caring and knowledgeable,positive
ang doktor ay nagpapakita ng tamang asal,neutral
ang beterinaryo ay inalagaan ang aking alaga,neutral
everyone at the facility was super professional and caring,positive
ang serbisyo ay tumugon sa mga kinakailangan,neutral
ocvh was so understanding and helpful,positive
the staff here take their time,neutral
outstanding service,positive
so far so good everyone was friendly and professional,positive
grabe ang taas ng presyo,negative
napaka matapat ng mga tauhan,positive
ocvh was so understanding and courteous,positive
the staff are excellent very caring and professional,positive
the staff is very dependable,positive
the doctor is knowledgeable,positive
ocvh was helpful they answered all my questions so respectful,positive
the equipment in this clinic is so clean,positive
there are delays that may impact customers schedule,neutral
this place sucks there are stains all over the place,negative
the doctor is outstanding,positive
the staff is really good,positive
i am happy with the provided care,positive
there were visible spots on the floor,neutral
the doctor makes decisions for my dogd,neutral
the prices are higher compared to other which is unfair,negative
the doctor is very trustworthy,positive
ang mga receptionist ay binati ako sa aking pag dating,neutral
walang modo ang tagatanggap,negative
ang mga doktor ay nagsasagawa ng kanilang mga tungkulin,neutral
everyone at the facility was nice super professional and trustworthy,positive
the staffs are trustworthy,positive
the vets listen,neutral
extremely dedicated staffs,positive
the staffs are dedicated on providing good service,positive
marvelous service,positive
doctors and staff are always very helpful and caring,positive
the doctor is so gentle,positive
the doctor does not have any knowledge on my pet,negative
i have never received the confirmation for my appoinment so im not sure if it worked,negative
the staffs are very gentle,positive
service could be improved with quicker response times,neutral
gentle staffs,positive
mayroon silang listahan ng mga presyo,neutral
the staff addresses customer needs as they arise,neutral
they are inattentive,negative
they have hidden fees that are not mentioned until after the service is done which is so unfair,negative
everyone at the facility was super gentle,positive
the staff is very professional,positive
the customer service is just okay,neutral
doctor is very great,positive
the staff and physicians are excellent,positive
the service is outstanding,positive
so far so good everyone was gentle and professional,positive
i have to wait for a very long time despite having an appoinment,negative
the staff is knowledgeable and compassionate,positive
napakamahal ng presyo kumpara sa iba,negative
the booking form is too long and asks for unnecessary details,negative
nakakaubos ng pasensya sa sobrang tagal ng paghihintay,negative
napakamatulungin at mabait ng doctor,positive
very professional staff,positive
the pricing is unclear so it is unfair,negative
ang staff ay rumeresponde sa iyong pangangailangan,neutral
the vet and office staff responds to your queries,neutral
napakabagal ng kanilang system,negative
siya ay nagbibigay ng angkop na atensyon sa aking aso,neutral
nakakabahala ang diagnosis dahil parang hindi accurate,negative
the staff was friendly,positive
the doctor is an excellent veterinarian,positive
the staff was competent,positive
the staffs are welcoming and helpful,positive
it is really expensive than usual,negative
the staffs are very friendly and professional,positive
prompt service,positive
the staff is extremely sincere,positive
dr danowitz is an excellent veterinarian,positive
nadidismaya ako sa treatment na nakuha ko,negative
the doctor truly cares,positive
the doctor is really commendable,positive
the doctor addresses concerns appropriately,neutral
the service is great,positive
napakamatulungin at mabait ng mga tauhan,positive
they answered all my questions and take good care of my two kittens,positive
the doctor is the greatest,positive
i am so grateful to the professional and greatly knowledgeable staff,positive
there is a need to allot an extra time when waiting,neutral
nice and caring staff,positive
my dog started to get restless at how long we have been waiting in the lobby,negative
the veterinarians are knowledgeable and compassionate,positive
the staff is very professional and caring,positive
the staff is greatly knowledgeable,positive
naobserbahan ko na ang buong staff ay nagbigay ng atensyon,neutral
the staff is very friendly,positive
the doctor is knowledgeable,positive
sila ay nagbibigay ng kinakailangang tulong,neutral
i am so grateful to the professionals,positive
incredibly long wait before we could see the vet,negative
the visit to the clinic took longer than expected,neutral
the staff are so rude as no one apologized when they made me wait for over an hour,negative
the staff is very very professional,positive
they are very gentle,positive
this clinic is so results driven which is why they are good,positive
sila ay tumawag pagkatapos ng ilang araw para magtanong sa kalagayan ng aking alaga,neutral
the staff is caring,positive
ang tauhan ay sobrang mahusay at propesyonal,positive
the staffs are very friendly and knowledgeable,positive
the reception staff assisted with my needs,neutral
doctors and staff are always very helpful and welcoming,positive
napakamatulungin ng mga tauhan,positive
nice staff,positive
their service is admirable,positive
staff performed their duties,neutral
everyone was very genuine,positive
i had more problems with my pet after visiting,negative
the staffs was so accommodating,positive
everyone followed proper etiquette,neutral
they are charging me extra costs for a follow up consultation is unacceptable,negative
hindi maganda ang aking narasanasan,negative
the staff is very professional and accommodating,positive
binabati ka sa oras ng iyong appointment,neutral
the staff is very attentive,positive
this clinic is top notch,positive
the wait was very long,negative
everyone was very accommodating,positive
the staff is very attentive to our needs,positive
top notch staffs,positive
ginawa ng staff ang kanilang responsibilidad,neutral
no sense of urgency in this clinic,negative
the service is worst,negative
the service is superb,positive
minsan ay may error sa online booking,neutral
this clinic is so remarkable,positive
the place is kept in a functional state,neutral
the place is organized and in working condition,neutral
they have provided good care for my pets,neutral
they are knowledgeable,positive
the staff is so respectful,positive
the staff and physicians are excellent,positive
sila ay nag aalok ng tulong kapag kinakailangan,neutral
the staff is extremely attentive,positive
matagal magreply sa booking request,negative
the service is impeccable,positive
ang mga nakaiskedyul na appointment ay sumusunod sa itinakdang oras,neutral
ang mga tauhan ay naibibigay ang kailangan mo nang tama,positive
everyone at the facility was super welcoming,positive
the pricing is on the higher side and offering a multi-pet discount plan could be beneficial,neutral
the service is awesome,positive
the staff is very friendly,positive
the staff is considerate,positive
i am so grateful to the welcoming and greatly knowledgeable staff,positive
sila ay sumusunod sa mga pamantayan ng kanilang tungkulin,neutral
sobrang mali ng diagnosis,negative
nakakaubos ng oras ang waiting time sa sobrang bagal,negative
the doctor handled my two guinea pigs,neutral
ang tauhan ay palaging mabait taospusong nakikiramay nakikiramay at nagmamalasakit sa lahat ng ating mga hayop,positive
ocvh was so welcoming and helpful they answered all my questions so respectful,positive
the staff is very helpful and the veterinarians knowledgeable and compassionate,positive
my puppy remained calm during the visit,neutral
